名字,学校,作品,学术经历,,,,,网址,scholar
Xiaojiang Peng,Shenzhen CAS-SIAT,CVPR、ECCV、TIP,PhD(Southwest Jiaotong University) postdoctoral researcher(Switzerland),,,,,https://pengxj.github.io/,https://scholar.google.com/citations?user=7oRD67kAAAAJ&hl=zh-CN
Yu Qiao,Shenzhen CAS-SIAT,CVPR、ECCV、TIP,MMLAB Japan,,,,,http://xpixel.group/2010/05/29/yuqiao.html,https://scholar.google.com/citations?user=gFtI-8QAAAAJ&hl=zh-CN
Jiabei Zeng,Beijing CAS,CVPR、TIP,PhD(Beihang University),,,,,http://vipl.ict.ac.cn/view_people.php?url=&id=91,https://scholar.google.com/citations?user=N9elZDYAAAAJ&hl=zh-CN
Weihong Deng,Beijing BUPT,TPAMI,PhD(BUPT),,,,,http://whdeng.cn/,https://scholar.google.ca/citations?user=1rhBlUEAAAAJ&hl=zh-CN
Jufeng Yang,Nankai University,CVPR、TPAMI,PhD(Nankai University) Postdoctoral(University of California at Merced),,,,,https://cv.nankai.edu.cn/,
Shangfei Wang,Anhui USTC,TMC,PhD(University of Science and Technology of China),,,,,http://staff.ustc.edu.cn/~sfwang/#about-me,https://scholar.google.com/citations?user=PmDOUfQAAAAJ&hl=e
Shijian Lu,Singpore NTU,CVPR、TPAMI,PhD(NUS),,,,,https://www.ntu.edu.sg/home/shijian.lu/index.htm,https://scholar.google.com/citations?hl=zh-CN&user=uYmK-A0AAAAJ
Jianfei Cai,Singpore NTU,CVPR、TIP、TPAMI,PhD(the University of Missouri-Columbia),,,,,https://www.ntu.edu.sg/home/asjfcai/,https://scholar.google.com/citations?user=B3_kPMcAAAAJ&hl=zh-CN
Dinesh Manocha,USA UMD,CV、CG,,,,,,https://www.cs.umd.edu/people/dmanocha,https://scholar.google.com/citations?user=X08l_4IAAAAJ&hl=zh-CN
Aniket Bera,USA UMD,CVPR、ECCV、TIP,PhD(the University of North Carolina),,,,,https://www.cs.umd.edu/~ab/,https://scholar.google.com/citations?user=q3UdHk4AAAAJ&hl=en
Lijun Yin,USA Binghamton U,WACV、CVPR,PhD(University of Alberta),,,,,http://www.cs.binghamton.edu/~lijun/,https://scholar.google.com/citations?user=PYV9NvYAAAAJ&hl=zh-CN
Aleix M Martinez,USA OSU,CVPR、IJCV,,,,,,http://www2.ece.ohio-state.edu/~aleix/,https://scholar.google.com/citations?user=9uNzG-sAAAAJ&hl=zh-CN
Yan Tong,USA University of South Carolina,ICME、CVPR,PhD(Rensselaer Polytechnic Institute),,,,,https://cse.sc.edu/~tongy/,https://scholar.google.com/citations?user=tY9bQTkAAAAJ&hl=en
Fernando De la Torre,USA CMU,CVPR,"PhD(Ramon Llull University, Barcelona, Spain)",,,,,https://www.cs.cmu.edu/~ftorre/,https://scholar.google.com/citations?user=YB8_6gkAAAAJ&hl=zh-CN
Qiang Ji,USA RPI,TPAMI,PhD(University of Washington),,,,,https://www.ecse.rpi.edu/~qji/,https://scholar.google.com/citations?user=vAXmpVIAAAAJ&hl=zh-CN
Mohammad Soleymani,USA USC,TAC,PhD(),,,,,https://people.ict.usc.edu/~soleymani/,https://scholar.google.com/citations?user=oCQNh7QAAAAJ&hl=zh-CN
Seungryong Kim,Korea Korea University,CVPR、TPAMI,PhD(Yonsei University) postdoctoral researcher(EPFL),,,,,https://seungryong.github.io/,https://scholar.google.com/citations?user=cIK1hS8AAAAJ&hl=ko
Maja Pantic,UK Imperial College London,TPAMI,PhD(Delft University of Technology),,,,,https://ibug.doc.ic.ac.uk/maja/,https://scholar.google.com/citations?user=ygpxbK8AAAAJ&hl=zh-CN
Bjorn Schuller,UK Imperial College London,TAC,,,,,,https://www.imperial.ac.uk/people/bjoern.schuller,https://scholar.google.com/citations?user=TxKNCSoAAAAJ&hl=zh-CN
Stefanos Zafeiriou,UK Imperial College London,TPAMI,,,,,,https://www.imperial.ac.uk/people/s.zafeiriou,https://scholar.google.com/citations?user=QKOH5iYAAAAJ&hl=zh-CN
Hatice Gunes,UK Cambridge,ECCV,,,,,,https://www.cl.cam.ac.uk/~hg410/,https://scholar.google.com/citations?user=2WkE1wYAAAAJ&hl=zh-CN
Michel Valstar,UK University of Nottingham,TAC,,,,,,http://www.cs.nott.ac.uk/~pszmv/index.html,https://scholar.google.co.uk/citations?user=SRs5RFEAAAAJ&hl=en
Ioannis Patras,"UK Queen Mary, University of London",TPAMI,,,,,,http://www.eecs.qmul.ac.uk/~ioannisp/,https://scholar.google.com/citations?user=OBYLxRkAAAAJ&hl=zh-CN
Boulbaba Ben Amor,Abu Dhabi IIAI,TPAMI,PhD(Ecole Centrale de Lyon France),,,,,https://sites.google.com/site/bbenamorshomepage1/,https://scholar.google.com/citations?user=8kGJcCIAAAAJ&hl=fr
Guoying Zhao,Finland Oulu,ACCV,PhD(CAS),,,,,http://www.ee.oulu.fi/~gyzhao/,https://scholar.google.com/citations?user=hzywrFMAAAAJ&hl=zh-CN
